Price,Neighborhood,Size,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
$1614, (Columbia Heights),/ 1br - ,Sep 18,Wonderful Low Priced Rent In Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5228453283.html,5228453283,2015,9,18
$1500, (Columbia Heights),/ 1br - ,Sep 18,Columbia Heights 1br English Basement Apt,https://washingtondc.craigslist.org/doc/apa/5228286483.html,5228286483,2015,9,18
$2000, (11th Street NW/ Columbia Heights/ Adam Morgan/ U Street),/ 2br - 1000ft,Sep 18,HUGE BEAUTIFUL COLUMBIA HEIGHTS 2BR/1BA w/ UTILITIES INCLUDED!,https://washingtondc.craigslist.org/doc/apa/5183308241.html,5183308241,2015,9,18
$1200, (Columbia Heights),/ 2br - 1050ft,Sep 18,Columbia Heights Master Bedroom with Own Bathroom,https://washingtondc.craigslist.org/doc/apa/5227742090.html,5227742090,2015,9,18
$2495, (Columbia Heights),/ 2br - ,Sep 18,Phenomenal new construction in Columbia Heights for less than $2500!,https://washingtondc.craigslist.org/doc/apa/5227709847.html,5227709847,2015,9,18
$2550, (Columbia Heights),/ 2br - 1150ft,Sep 18,2BR COLUMBIA HEIGHTS-OPEN HOUSE SUNDAY 9/20-1pm-PERFECT LOCATION!!,https://washingtondc.craigslist.org/doc/apa/5227518414.html,5227518414,2015,9,18
$3000," (U Street, U St NW, Columbia Heights)",/ 1br - 650ft,Sep 18,"U Street, Metro or Columbia Heights, Garage",https://washingtondc.craigslist.org/doc/apa/5227470261.html,5227470261,2015,9,18
$1499, (Columbia Heights),/ 2br - 650ft,Sep 18,Great Basement Apartment in Columbia Heights -- Free Utilities!,https://washingtondc.craigslist.org/doc/apa/5227439190.html,5227439190,2015,9,18
$1950, (Columbia Heights),/ 5br - 2100ft,Sep 17,2 Bedroom in Next To Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5227075298.html,5227075298,2015,9,18
$4500, (737 Girard St NW - Columbia Heights),/ 700ft,Sep 17,"Columbia Heights 3BR + 2 Den, 2 BA, Grand Living Room and Deck + Yard",https://washingtondc.craigslist.org/doc/apa/5190821271.html,5190821271,2015,9,18
$1400, (Columbia Heights),/ 1br - 600ft,Sep 17,Large Studio in Columbia Heights-3 blocks from Columbia Heights metro,https://washingtondc.craigslist.org/doc/apa/5226689787.html,5226689787,2015,9,18
$1500, (Petworth; Columbia Heights),/ 1br - 750ft,Sep 17,Just Renovated available now! Petworth - Columbia Heights - Park View,https://washingtondc.craigslist.org/doc/apa/5203121189.html,5203121189,2015,9,18
$1795, (Columbia Heights),/ 1br - 700ft,Sep 17,Lovely 1 bedroom Columbia Heights Unit,https://washingtondc.craigslist.org/doc/apa/5226333944.html,5226333944,2015,9,18
$1350, (Columbia Heights),/ 2br - ,Sep 17,Large One Bedroom in Great Columbia Heights Location,https://washingtondc.craigslist.org/doc/apa/5226221749.html,5226221749,2015,9,18
$2550, (Columbia Heights),/ 625ft,Sep 17,2BR COLUMBIA HEIGHTS-OPEN HOUSE SUNDAY 1PM-SUNNY/RENOVATED GEM!!,https://washingtondc.craigslist.org/doc/apa/5226164279.html,5226164279,2015,9,18
$1575," (Columbia Heights, NW DC)",/ 405ft,Sep 17,Newly Renovated Basement Apartment in Columbia Heights Utilities and WiFi Includ,https://washingtondc.craigslist.org/doc/apa/5226048947.html,5226048947,2015,9,18
$1325, (Mt Pleasant/Columbia Heights),/ 2br - 1800ft,Sep 17,Columbia Heights Studio available early October!,https://washingtondc.craigslist.org/doc/apa/5225919093.html,5225919093,2015,9,18
$3000, (Columbia Heights),/ 2br - 1073ft,Sep 17,Wonderful Columbia Heights Home Available!,https://washingtondc.craigslist.org/doc/apa/5213945188.html,5213945188,2015,9,18
$2995, (Columbia Heights NW DC),/ 2br - 1031ft,Sep 17,Luxury 2 Bedroom/2 Bath Available Now Above the Columbia Heights Metro!,https://washingtondc.craigslist.org/doc/apa/5204289106.html,5204289106,2015,9,18
$2750, (Columbia Heights),/ 2br - 1031ft,Sep 16,2 Bedroom Apt next to Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5225302438.html,5225302438,2015,9,18
$2750, (Columbia Heights),/ 3br - 1900ft,Sep 16,2 Bedroom Apt next to Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5225262154.html,5225262154,2015,9,18
$4200, (Columbia Heights),/ 2br - 1031ft,Sep 16,"Columbia Heights Rowhouse -- 3BD, 3.5 BA, Parking spot",https://washingtondc.craigslist.org/doc/apa/5208991099.html,5208991099,2015,9,18
$2750, (Columbia Heights),/ 2br - 1031ft,Sep 16,1 Month Free Next To Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5225070463.html,5225070463,2015,9,18
$2750, (Columbia Heights),/ 540ft,Sep 16,2 Bedroom Apt next to Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5224957748.html,5224957748,2015,9,18
$1399, (Columbia Heights),/ 540ft,Sep 16,Sept rent is paid for and ready to move into now!! In Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5199035590.html,5199035590,2015,9,18
$1399, (Columbia Heights),/ 2br - ,Sep 16,Ready to move into now! Sept rent is paid for! In Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5187763458.html,5187763458,2015,9,18
$2800, (COLUMBIA HEIGHTS),/ 2br - 1150ft,Sep 16,COLUMBIA HEIGHTS 2BD/2BA AVAILABLE NOW! WON'T LAST!,https://washingtondc.craigslist.org/doc/apa/5224648370.html,5224648370,2015,9,18
$3000," (U Street, Columbia Heights, Shaw)",/ 1br - 710ft,Sep 16,"Columbia Heights, U Street, Metro, W/D, Balcony, Garage, 2 Baths",https://washingtondc.craigslist.org/doc/apa/5214917959.html,5214917959,2015,9,18
$2300, (Columbia Heights),/ 2br - 1200ft,Sep 16,Columbia Heights 2 BD/1.5 BA for Rent $2300,https://washingtondc.craigslist.org/doc/apa/5224336723.html,5224336723,2015,9,18
$1995, (Columbia Heights),/ 405ft,Sep 15,Columbia Heights Renovated,https://washingtondc.craigslist.org/doc/apa/5223256843.html,5223256843,2015,9,18
$3400," (U Street, Columbia Heights, Adams Morgan)",/ 3br - 1500ft,Sep 15,"Columbia Heights / U Street, 2 LEVELS, 2 PARKING SPACES, 2.5 BATHS",https://washingtondc.craigslist.org/doc/apa/5213208475.html,5213208475,2015,9,18
$1325, (Mt Pleasant/Columbia Heights),/ 2br - 1200ft,Sep 15,Columbia Heights Studio available early October!,https://washingtondc.craigslist.org/doc/apa/5222658561.html,5222658561,2015,9,18
$3600, (Columbia Heights),/ 713ft,Sep 14,3 bedroom condo/townhouse available in hip Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5222231521.html,5222231521,2015,9,18
$2600, (Columbia Heights / Adams Morgan),/ 1br - 600ft,Sep 14,HUGE 2BR w/ 2 full baths - Adams Morgan short walk to Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5182675957.html,5182675957,2015,9,18
$1306, (16th St/ short walk 2 Metro/ Columbia Heights / Adams Morgan),/ 480ft,Sep 14,True VALUE Incredible LOCATION in Columbia Heights near Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5205124177.html,5205124177,2015,9,18
$2000, (Columbia Heights),/ 1br - 550ft,Sep 14,2BR/1BA Located blocks from Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5215186837.html,5215186837,2015,9,18
$2100, (14th & Harvard NW),/ 1br - 520ft,Sep 18,1 Bedroom Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5228596424.html,5228596424,2015,9,18
$1675," (Adams Morgan, NW)",/ 1br - 517ft,Sep 18,"Walking Distance to Metro Stations, Columbia Heights and Woodley Park",https://washingtondc.craigslist.org/doc/apa/5228324327.html,5228324327,2015,9,18
$1550, (NW DC),/ 2br - 800ft,Sep 18,1 Bedroom in Park View/Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5217427364.html,5217427364,2015,9,18
$1699, (Washington),/ 500ft,Sep 18,1 Bedroom ONLY $1699 in Columbia Heights! Don't Miss Out!,https://washingtondc.craigslist.org/doc/apa/5224952927.html,5224952927,2015,9,18
$1200, ,/ 1br - 600ft,Sep 18,Great Studio in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5228207418.html,5228207418,2015,9,18
$1765, (Washington),/ 2br - 850ft,Sep 18,Amazing 1 bedroom in Columbia Heights! Waiving App Fee. Call Now!!!,https://washingtondc.craigslist.org/doc/apa/5224841327.html,5224841327,2015,9,18
$2650, (13th & Euclid St NW),/ 540ft,Sep 18,2535 13th St NW #205 - Columbia Heights/ U St 2BR 2BA w Parking,https://washingtondc.craigslist.org/doc/apa/5220316835.html,5220316835,2015,9,18
$1385," (DC, Off 16th Street)",/ 540ft,Sep 18,"Visit Your New Home, Laundry On Site, Walk to Columbia Heights Metro",https://washingtondc.craigslist.org/doc/apa/5227726260.html,5227726260,2015,9,18
$1850, (14th & Columbia Rd),/ 1br - ,Sep 18,"Bright, Modern 1 bedroom 1 block from Columbia Heights Metro",https://washingtondc.craigslist.org/doc/apa/5227385250.html,5227385250,2015,9,18
$2630, (Columbia Heights),/ 3br - 2000ft,Sep 13,Columbia Heights Condo w/ Parking/SS Appliances/Custom Closets+ More!,https://washingtondc.craigslist.org/doc/apa/5216545481.html,5216545481,2015,9,18
$1399, (Columbia Heights),/ 4br - 2000ft,Sep 13,Sept rent paid! Move in now!! Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5200786582.html,5200786582,2015,9,18
$1399, (Columbia Heights),/ 1br - ,Sep 13,540 sq ft studio w.walk-in closet in Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5182379704.html,5182379704,2015,9,18
$2250, (1354 Euclid St. NW),/ 1br - 520ft,Sep 17,Columbia Heights - Modern,https://washingtondc.craigslist.org/doc/apa/5220352602.html,5220352602,2015,9,18
$2550," (4102 14th Street, NW# 1)",/ 1br - 550ft,Sep 17,WATER INCLUDED!! NW Spacious Remodeled 3 bdr in N. Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5201793432.html,5201793432,2015,9,18
$2550," (4102 14th Street, NW#1)",/ 1br - ,Sep 17,WATER INCLUDED!! NW Spacious Remodeled 4 bdr in N. Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5201798921.html,5201798921,2015,9,18
$1800, (Columbia Heights),/ 1br - ,Sep 13,Centrally Located Columbia Heights 1BR-Modern Space w/ Amazing Rooftop,https://washingtondc.craigslist.org/doc/apa/5219810701.html,5219810701,2015,9,18
$1765, (1375 Fairmont Street NW),/ 2br - 670ft,Sep 17,Beautiful Apartment in Columbia Heights!!1Bdr,https://washingtondc.craigslist.org/doc/apa/5213785085.html,5213785085,2015,9,18
$1550, (NW DC),/ 2br - 670ft,Sep 17,1 Bedroom in Columbia Heights/ Park View,https://washingtondc.craigslist.org/doc/apa/5199681855.html,5199681855,2015,9,18
$1378," (1429 Belmont St, NW)",/ 1br - 623ft,Sep 17,"1 Bedroom Apartment in Columbia Heights - 1429 Belmont St, NW",https://washingtondc.craigslist.org/doc/apa/5223157526.html,5223157526,2015,9,18
$1450," (1476 Newton St., NW)",/ 1br - 650ft,Sep 17,Spacious One Bedroom in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5223159911.html,5223159911,2015,9,18
$2280, (1375 Fairmont ST NW),/ 1br - 597ft,Sep 17,TOP FLOOR! CHECK IT OUT! 2 Bedroom in the heart of Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5222756956.html,5222756956,2015,9,18
$2280, (1375 Fairmont ST NW),/ 500ft,Sep 17,LOOK NO FURTHER!! 2 BR IN COLUMBIA HEIGHTS! AMAZING DEAL !!,https://washingtondc.craigslist.org/doc/apa/5222680139.html,5222680139,2015,9,18
$1605, (2750 14th St NW),/ 1br - 600ft,Sep 17,"One bedroom Condo in Columbia Heights, Sun filled",https://washingtondc.craigslist.org/doc/apa/5211545638.html,5211545638,2015,9,18
$2000, (Columbia Heights),/ 535ft,Sep 12,BRAND NEW LUXURY 1 BR/1 BATH W/D IN UNIT IN COLUMBIA HEIGHTS,https://washingtondc.craigslist.org/doc/apa/5218325482.html,5218325482,2015,9,18
$2150," (Washington, DC)",/ 2br - ,Sep 16,Highland Park in Columbia Heights! Move-In This Week! One Month Free!,https://washingtondc.craigslist.org/doc/apa/5225142571.html,5225142571,2015,9,18
$1325," (DC, Off 16th Street)",/ 1br - 700ft,Sep 16,"Come Look and Lease, Walk to Columbia Heights Metro, Laundry On Site",https://washingtondc.craigslist.org/doc/apa/5225006787.html,5225006787,2015,9,18
$1515," (DC, Off 16th Street)",/ 1br - 603ft,Sep 16,"Lease Today, Walk to Columbia Heights Metro, Laundry On Site",https://washingtondc.craigslist.org/doc/apa/5225009375.html,5225009375,2015,9,18
$1449, (Mt. Pleasant),/ 2br - 1031ft,Sep 16,Gorgeous and Spacious Studio in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5224974038.html,5224974038,2015,9,18
$2600, (13th and Euclid),/ 2br - 1031ft,Sep 16,Beautiful Recently Renovated Columbia Heights Apartment! Must See!!!!,https://washingtondc.craigslist.org/doc/apa/5224354195.html,5224354195,2015,9,18
$1550, (18th and Shephard),/ 1br - 560ft,Sep 15,Petworth / Columbia Heights (Crestwood) Basement apartment NW DC,https://washingtondc.craigslist.org/doc/apa/5219705854.html,5219705854,2015,9,18
$1540, (Columbia Heights),/ 1br - ,Sep 11,Fantastic 1 Bedroom in vibrant Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5217098851.html,5217098851,2015,9,18
$2750, (1346 PARK RD. NW),/ 2br - 800ft,Sep 15,Spacious 2 bedrooms/2bath apartment available in Columbia Heights!!!,https://washingtondc.craigslist.org/doc/apa/5212414255.html,5212414255,2015,9,18
$2750, (1346 park road nw),/ 1br - 722ft,Sep 15,Huge 2 bedroom/2bath in Columbia Heights!!!,https://washingtondc.craigslist.org/doc/apa/5212417108.html,5212417108,2015,9,18
$1614, (3435 HOLMEASD PL. NW),/ 2br - ,Sep 15,Want to live in Columbia Heights and don't want to pay the high price!,https://washingtondc.craigslist.org/doc/apa/5214427903.html,5214427903,2015,9,18
$1899, (Washington D.C.),/ 2br - 1000ft,Sep 14,"One bedroom, one bathroom in Columbia Heights",https://washingtondc.craigslist.org/doc/apa/5210161336.html,5210161336,2015,9,18
$2495, (2325 13th St NW),/ 5br - 2100ft,Sep 14,"Columbia Heights 2BR 2BA Modern Condo Avail Now, 1 Car Garage",https://washingtondc.craigslist.org/doc/apa/5179460713.html,5179460713,2015,9,18
$2100, ,/ 1br - 750ft,Sep 14,"Great condo for rent at Columbia Heights, Short term & Pets welcome",https://washingtondc.craigslist.org/doc/apa/5221410910.html,5221410910,2015,9,18
$2595, (NW DC),/ 1br - 530ft,Sep 14,"For rent, 2 Brs apartments in Columbia Heights",https://washingtondc.craigslist.org/doc/apa/5221192879.html,5221192879,2015,9,18
$1800, (11th Street/ Columbia Heights NW),/ 1br - ,Sep 18,LOVELY LARGE COLUMBIA HEIGHTS 2-BR with UTILITIES Included!,https://washingtondc.craigslist.org/doc/apa/5192973260.html,5192973260,2015,9,18
$4500, (737 Girard St NW - Columbia Heights),/ 2br - 605ft,Sep 18,5 Bed 2FB Semi-Detached Townhouse in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5194100809.html,5194100809,2015,9,18
$1895, (Columbia Heights/Petworth),/ 2br - 663ft,Sep 18,Great Deal on a 1 Bedroom with Parking in Columbia Heights/Petworth,https://washingtondc.craigslist.org/doc/apa/5227668506.html,5227668506,2015,9,18
$1270, (NW (DC)),/ 2br - 1050ft,Sep 13,1 Bedroom Apartment in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5219767864.html,5219767864,2015,9,18
$2250, (1354 Euclid St. NW),/ 2br - 1050ft,Sep 17,Great Columbia Heights Apt,https://washingtondc.craigslist.org/doc/apa/5197269205.html,5197269205,2015,9,18
$1950, (Columbia Heights),/ 5br - 3500ft,Sep 17,2 Bedroom Near Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5213217499.html,5213217499,2015,9,18
$2225, (1375 Fairmont ST NW),/ 1br - 603ft,Sep 17,LAST ONE! GREAT DEAL! 2 Bedroom in the heart of Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5213775103.html,5213775103,2015,9,18
$2050, (HARVARD ST. NW & 14 th ST. NW),/ 2br - ,Sep 12,2 Bedroom Apartment Close to Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5175914360.html,5175914360,2015,9,18
$2600, (Columbia Heights),/ 1br - ,Sep 17,Chic and modern living in Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5222834584.html,5222834584,2015,9,18
$6999, (Columbia Heights),/ 2br - 1150ft,Sep 17,Wonderful Columbia Heights 5-6 bedroom/ 3.5 bath HUGE HOUSE,https://washingtondc.craigslist.org/doc/apa/5226263248.html,5226263248,2015,9,18
$1450, (Columbia Heights),/ 2br - 900ft,Sep 17,REDUCED Fantastic 1 Bedroom in vibrant Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5226228501.html,5226228501,2015,9,18
$2550, (Columbia Heights),/ 1br - ,Sep 17,RENOVATED 2BR- 1 blk from Columbia Heights Metro-OPEN HOUSE SUN: 1pm!,https://washingtondc.craigslist.org/doc/apa/5216839383.html,5216839383,2015,9,18
$1895, (Columbia Heights),/ 1br - 480ft,Sep 17,Renovated One-Bedroom in Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5180313555.html,5180313555,2015,9,18
$3000," (U Street, NW, Columbia Heights, Shaw)",/ 3br - 1900ft,Sep 17,"Columbia Heights, U Street METRO, Balcony,W/D, Garage, 2 BATHS",https://washingtondc.craigslist.org/doc/apa/5215682832.html,5215682832,2015,9,18
$2450, (725 Hobart Pl NW),/ 2br - 1200ft,Sep 17,Brand New 2Bed-2Bth Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5226021948.html,5226021948,2015,9,18
$1950, (Columbia Heights),/ 405ft,Sep 17,Spectacular must-see 1BD/1BA condo in the heart of Columbia Heights!,https://washingtondc.craigslist.org/doc/apa/5225879889.html,5225879889,2015,9,18
$1690, (16th St & Columbia Rd NW),/ 1br - 700ft,Sep 17,Beautiful furnished studio in Adams Morgan/Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5225888133.html,5225888133,2015,9,18
$4200, (Columbia Heights),/ 2br - ,Sep 16,"Available October 1st! 3BR, 4BA Columbia Heights Home",https://washingtondc.craigslist.org/doc/apa/5225100471.html,5225100471,2015,9,18
$3400," (Columbia Heights, U Street, Adams Morgan)",/ 2br - ,Sep 16,"Columbia Heights, Adams Morgan, U Street Metro, 2 Levels, 2 parking",https://washingtondc.craigslist.org/doc/apa/5215948188.html,5215948188,2015,9,18
$1325, (Mt Pleasant/Columbia Heights),/ 3br - ,Sep 16,Columbia Heights studio available early October!,https://washingtondc.craigslist.org/doc/apa/5224422484.html,5224422484,2015,9,18
$1350, (Columbia Heights),/ 2br - ,Sep 16,Large One Bedroom in Great Columbia Heights Location,https://washingtondc.craigslist.org/doc/apa/5224344053.html,5224344053,2015,9,18
